Birth Rate,Business Tax Rate,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.03,0.41,37.00,47654789735.00,0.067,215.00,344.00,0.03,0.10,75.00,68.00,1.30,0.41,0.54,0.05,0.50,The Americas,Guatemala
0.02,0.36,20.00,2576602497.00,0.068,221.00,263.00,0.03,0.30,69.00,63.00,0.70,0.37,0.60,0.03,0.28,The Americas,Guyana
0.03,0.40,105.00,7516834160.00,0.085,62.00,184.00,0.06,0.10,64.00,61.00,0.40,0.36,0.60,0.05,0.54,The Americas,Haiti
0.03,0.44,14.00,17710325578.00,0.084,187.00,224.00,0.02,0.20,76.00,71.00,1.00,0.36,0.59,0.04,0.52,The Americas,Honduras
0.02,0.44,7.00,14433926129.00,0.052,273.00,414.00,0.02,0.40,76.00,71.00,1.10,0.28,0.64,0.08,0.54,The Americas,Jamaica
0.02,0.53,6.00,1170085556896.00,0.06,609.00,347.00,0.01,0.40,79.00,75.00,0.80,0.30,0.64,0.06,0.78,The Americas,Mexico
0.02,0.67,39.00,9898547558.00,0.076,124.00,207.00,0.02,0.10,77.00,71.00,0.80,0.34,0.62,0.05,0.58,The Americas,Nicaragua
0.02,0.44,8.00,33270500000.00,0.079,664.00,482.00,0.02,0.40,80.00,74.00,1.80,0.29,0.64,0.07,0.65,The Americas,Panama
0.02,0.35,35.00,25071193102.00,0.089,352.00,387.00,0.02,0.20,74.00,70.00,1.00,0.33,0.62,0.05,0.59,The Americas,Paraguay
0.02,0.37,25.00,170563949736.00,0.047,283.00,309.00,0.01,0.40,77.00,72.00,1.10,0.30,0.64,0.06,0.77,The Americas,Peru
0.01,0.63,6.00,100351670000.00,,,218.00,,0.50,82.00,75.00,0.80,0.20,0.67,0.13,0.94,The Americas,Puerto Rico
,,,,,,,,,,,,,,,1.00,The Americas,Sint Maarten (Dutch part)
,0.53,19.00,728148148.00,0.058,820.00,203.00,0.01,0.80,,,1.50,,,,0.32,The Americas,St. Kitts and Nevis
0.02,0.34,15.00,1295925926.00,0.076,513.00,92.00,0.01,0.50,77.00,72.00,1.20,0.25,0.67,0.09,0.19,The Americas,St. Lucia
0.02,,,,,,,,,82.00,76.00,,,,,,The Americas,St. Martin (French part)
0.02,0.39,10.00,677037037.00,0.049,310.00,111.00,0.02,0.40,74.00,70.00,1.20,0.26,0.67,0.07,0.49,The Americas,St. Vincent and the Grenadines
0.02,0.28,694.00,4363219094.00,0.06,490.00,199.00,0.02,0.30,74.00,67.00,1.00,0.28,0.65,0.07,0.66,The Americas,Suriname
0.02,0.29,41.00,23676348287.00,0.053,935.00,210.00,0.02,0.60,73.00,66.00,1.40,0.21,0.71,0.09,0.09,The Americas,Trinidad and Tobago
,,,,,,,,,,,,,,,0.91,The Americas,Turks and Caicos Islands
0.01,0.47,5.00,15533800000000.00,0.177,8467.00,187.00,0.01,0.70,81.00,76.00,0.90,0.20,0.67,0.13,0.81,The Americas,United States
0.02,0.42,7.00,47236710623.00,0.088,1213.00,336.00,0.01,0.50,80.00,73.00,1.40,0.22,0.64,0.14,0.95,The Americas,Uruguay
0.02,0.63,141.00,316482176579.00,0.045,487.00,864.00,0.01,0.40,77.00,71.00,1.00,0.29,0.65,0.06,0.89,The Americas,"Venezuela, RB"
0.01,,,,,,,,0.40,83.00,76.00,,0.21,0.65,0.15,0.95,The Americas,Virgin Islands (U.S.)
